order_id,date,year,month,weekday,item,category,quantity,unit_price,total_revenue,unit_cost,total_cost,total_profit,payment_method,waiter,channel
21,2024-03-12,2024,3,1,Salad,Starter,3,33.12,99.36,14.9,44.7,54.66,Debit Card,Eduarda,Delivery
22,2024-10-25,2024,10,4,Fries,Side,1,19.8,19.8,7.92,7.92,11.88,Debit Card,Bruno,Dine-in
23,2024-09-17,2024,9,1,Dessert,Dessert,2,29.98,59.96,12.59,25.18,34.78,Cash,Ana,Dine-in
24,2024-03-19,2024,3,1,Pasta,Main,3,45.62,136.86,23.72,71.16,65.7,Pix,Eduarda,Dine-in
25,2024-07-16,2024,7,1,Fries,Side,1,20.58,20.58,8.23,8.23,12.35,Pix,Eduarda,Delivery
26,2024-10-10,2024,10,3,Burger,Main,4,40.35,161.4,22.19,88.76,72.64,Cash,Eduarda,Delivery
27,2024-11-24,2024,11,6,Steak,Main,1,94.9,94.9,55.04,55.04,39.86,Cash,Carla,Delivery
28,2024-03-21,2024,3,3,Dessert,Dessert,1,19.64,19.64,8.25,8.25,11.39,Cash,Carla,Takeaway
29,2024-04-01,2024,4,0,Soda,Drink,3,10.76,32.28,3.77,11.31,20.97,Cash,Carla,Takeaway
30,2024-09-16,2024,9,0,Beer,Drink,2,17.02,34.04,7.66,15.32,18.72,Credit Card,Bruno,Delivery
31,2024-03-23,2024,3,5,Soda,Drink,2,9.33,18.66,3.27,6.54,12.12,Cash,Eduarda,Delivery
32,2024-09-07,2024,9,5,Burger,Main,2,38.9,77.8,21.39,42.78,35.02,Cash,Carla,Delivery
33,2024-05-02,2024,5,3,Burger,Main,3,41.59,124.77,22.87,68.61,56.16,Credit Card,Eduarda,Dine-in
34,2024-02-13,2024,2,1,Dessert,Dessert,1,19.51,19.51,8.19,8.19,11.32,Cash,Eduarda,Dine-in
35,2024-03-06,2024,3,2,Dessert,Dessert,1,28.22,28.22,11.85,11.85,16.37,Credit Card,Carla,Takeaway
36,2024-11-06,2024,11,2,Fries,Side,1,21.48,21.48,8.59,8.59,12.89,Credit Card,Eduarda,Takeaway
37,2024-12-19,2024,12,3,Salad,Starter,2,25.39,50.78,11.43,22.86,27.92,Debit Card,Diego,Takeaway
38,2024-11-28,2024,11,3,Steak,Main,4,100.36,401.44,58.21,232.84,168.6,Pix,Eduarda,Delivery
39,2024-03-02,2024,3,5,Salad,Starter,1,28.85,28.85,12.98,12.98,15.87,Credit Card,Ana,Delivery
40,2024-01-11,2024,1,3,Beer,Drink,2,12.4,24.8,5.58,11.16,13.64,Credit Card,Eduarda,Dine-in
41,2024-01-04,2024,1,3,Pizza,Main,2,53.41,106.82,26.7,53.4,53.42,Cash,Bruno,Dine-in
42,2024-01-17,2024,1,2,Steak,Main,3,92.26,276.78,53.51,160.53,116.25,Cash,Eduarda,Dine-in
43,2024-05-22,2024,5,2,Dessert,Dessert,3,21.51,64.53,9.03,27.09,37.44,Credit Card,Eduarda,Dine-in
44,2024-10-19,2024,10,5,Beer,Drink,1,18.47,18.47,8.31,8.31,10.16,Pix,Bruno,Delivery
45,2024-07-27,2024,7,5,Salad,Starter,1,34.36,34.36,15.46,15.46,18.9,Cash,Ana,Takeaway
46,2024-08-08,2024,8,3,Steak,Main,2,70.5,141.0,40.89,81.78,59.22,Pix,Diego,Delivery
47,2024-01-28,2024,1,6,Pizza,Main,2,60.73,121.46,30.36,60.72,60.74,Cash,Diego,Takeaway
48,2024-06-22,2024,6,5,Pizza,Main,2,68.23,136.46,34.12,68.24,68.22,Credit Card,Bruno,Dine-in
49,2024-10-01,2024,10,1,Dessert,Dessert,1,23.42,23.42,9.84,9.84,13.58,Credit Card,Diego,Dine-in
50,2024-05-22,2024,5,2,Dessert,Dessert,3,30.01,90.03,12.6,37.8,52.23,Credit Card,Ana,Delivery
51,2024-10-08,2024,10,1,Pizza,Main,1,65.47,65.47,32.73,32.73,32.74,Cash,Eduarda,Dine-in
52,2024-02-17,2024,2,5,Salad,Starter,5,23.45,117.25,10.55,52.75,64.5,Credit Card,Diego,Delivery
53,2024-09-03,2024,9,1,Salad,Starter,4,33.14,132.56,14.91,59.64,72.92,Pix,Ana,Dine-in
54,2024-07-13,2024,7,5,Burger,Main,2,31.56,63.12,17.36,34.72,28.4,Pix,Carla,Delivery
55,2024-05-26,2024,5,6,Fries,Side,1,16.53,16.53,6.61,6.61,9.92,Pix,Bruno,Dine-in
56,2024-05-31,2024,5,4,Salad,Starter,3,24.89,74.67,11.2,33.6,41.07,Cash,Eduarda,Takeaway
57,2024-10-04,2024,10,4,Burger,Main,1,40.28,40.28,22.15,22.15,18.13,Debit Card,Ana,Dine-in
58,2024-10-26,2024,10,5,Dessert,Dessert,5,28.73,143.65,12.07,60.35,83.3,Credit Card,Ana,Takeaway
59,2024-02-11,2024,2,6,Pasta,Main,1,46.51,46.51,24.19,24.19,22.32,Cash,Eduarda,Dine-in
60,2024-12-11,2024,12,2,Salad,Starter,4,37.28,149.12,16.78,67.12,82.0,Pix,Ana,Takeaway
61,2024-05-06,2024,5,0,Beer,Drink,1,18.26,18.26,8.22,8.22,10.04,Cash,Eduarda,Dine-in
62,2024-08-02,2024,8,4,Beer,Drink,1,20.13,20.13,9.06,9.06,11.07,Debit Card,Carla,Dine-in
63,2024-12-08,2024,12,6,Steak,Main,5,108.06,540.3,62.67,313.35,226.95,Credit Card,Carla,Delivery
64,2024-03-08,2024,3,4,Sushi,Main,6,56.45,338.7,33.87,203.22,135.48,Pix,Carla,Dine-in
65,2024-01-05,2024,1,4,Dessert,Dessert,2,22.65,45.3,9.51,19.02,26.28,Cash,Ana,Takeaway
66,2024-04-19,2024,4,4,Soda,Drink,3,10.47,31.41,3.66,10.98,20.43,Debit Card,Bruno,Delivery
67,2024-02-05,2024,2,0,Salad,Starter,2,30.23,60.46,13.6,27.2,33.26,Debit Card,Carla,Dine-in
68,2024-08-12,2024,8,0,Soda,Drink,3,12.08,36.24,4.23,12.69,23.55,Debit Card,Eduarda,Takeaway
69,2024-09-27,2024,9,4,Burger,Main,6,34.02,204.12,18.71,112.26,91.86,Debit Card,Ana,Dine-in
70,2024-05-15,2024,5,2,Pizza,Main,4,71.0,284.0,35.5,142.0,142.0,Cash,Eduarda,Dine-in
71,2024-05-19,2024,5,6,Sushi,Main,1,72.17,72.17,43.3,43.3,28.87,Credit Card,Carla,Dine-in
72,2024-12-17,2024,12,1,Sushi,Main,1,84.16,84.16,50.5,50.5,33.66,Pix,Carla,Dine-in
73,2024-02-17,2024,2,5,Fries,Side,2,19.86,39.72,7.94,15.88,23.84,Debit Card,Ana,Dine-in
74,2024-06-19,2024,6,2,Pasta,Main,1,40.12,40.12,20.86,20.86,19.26,Debit Card,Bruno,Takeaway
75,2024-08-14,2024,8,2,Soda,Drink,1,11.85,11.85,4.15,4.15,7.7,Pix,Eduarda,Dine-in
76,2024-02-27,2024,2,1,Pizza,Main,2,61.44,122.88,30.72,61.44,61.44,Credit Card,Eduarda,Dine-in
77,2024-07-08,2024,7,0,Beer,Drink,1,13.39,13.39,6.03,6.03,7.36,Credit Card,Diego,Dine-in
78,2024-01-22,2024,1,0,Sushi,Main,4,76.62,306.48,45.97,183.88,122.6,Debit Card,Ana,Delivery
79,2024-04-17,2024,4,2,Salad,Starter,2,26.82,53.64,12.07,24.14,29.5,Cash,Carla,Takeaway
80,2024-07-27,2024,7,5,Beer,Drink,1,13.37,13.37,6.02,6.02,7.35,Credit Card,Bruno,Dine-in
81,2024-03-31,2024,3,6,Fries,Side,3,25.12,75.36,10.05,30.15,45.21,Cash,Bruno,Takeaway
82,2024-06-19,2024,6,2,Fries,Side,2,17.19,34.38,6.88,13.76,20.62,Credit Card,Carla,Dine-in
83,2024-12-25,2024,12,2,Pizza,Main,3,69.92,209.76,34.96,104.88,104.88,Pix,Ana,Delivery
84,2024-04-23,2024,4,1,Salad,Starter,1,30.7,30.7,13.81,13.81,16.89,Pix,Carla,Delivery
85,2024-04-26,2024,4,4,Salad,Starter,1,27.31,27.31,12.29,12.29,15.02,Cash,Bruno,Delivery
86,2024-06-17,2024,6,0,Sushi,Main,1,61.85,61.85,37.11,37.11,24.74,Cash,Carla,Delivery
87,2024-11-24,2024,11,6,Soda,Drink,3,8.75,26.25,3.06,9.18,17.07,Pix,Eduarda,Delivery
88,2024-01-15,2024,1,0,Pizza,Main,1,59.94,59.94,29.97,29.97,29.97,Debit Card,Bruno,Takeaway
89,2024-05-15,2024,5,2,Burger,Main,3,35.09,105.27,19.3,57.9,47.37,Cash,Eduarda,Delivery
90,2024-06-25,2024,6,1,Steak,Main,4,88.92,355.68,51.57,206.28,149.4,Pix,Eduarda,Takeaway
91,2024-02-29,2024,2,3,Fries,Side,1,15.91,15.91,6.36,6.36,9.55,Credit Card,Carla,Dine-in
92,2024-12-28,2024,12,5,Fries,Side,3,22.52,67.56,9.01,27.03,40.53,Cash,Eduarda,Takeaway
93,2024-12-17,2024,12,1,Salad,Starter,5,30.11,150.55,13.55,67.75,82.8,Debit Card,Diego,Dine-in
94,2024-12-06,2024,12,4,Steak,Main,1,73.96,73.96,42.9,42.9,31.06,Debit Card,Ana,Takeaway
95,2024-06-02,2024,6,6,Soda,Drink,1,8.35,8.35,2.92,2.92,5.43,Debit Card,Diego,Delivery
96,2024-07-25,2024,7,3,Sushi,Main,1,86.06,86.06,51.64,51.64,34.42,Credit Card,Bruno,Delivery
97,2024-12-06,2024,12,4,Fries,Side,1,19.55,19.55,7.82,7.82,11.73,Credit Card,Eduarda,Takeaway
98,2024-06-03,2024,6,0,Fries,Side,1,23.93,23.93,9.57,9.57,14.36,Cash,Carla,Delivery
99,2024-04-17,2024,4,2,Fries,Side,4,22.49,89.96,9.0,36.0,53.96,Debit Card,Diego,Delivery
100,2024-08-14,2024,8,2,Salad,Starter,4,25.52,102.08,11.48,45.92,56.16,Pix,Bruno,Takeaway
101,2024-02-13,2024,2,1,Sushi,Main,3,86.89,260.67,52.13,156.39,104.28,Debit Card,Ana,Dine-in
102,2024-12-10,2024,12,1,Sushi,Main,1,91.46,91.46,54.88,54.88,36.58,Credit Card,Bruno,Dine-in
103,2024-01-13,2024,1,5,Burger,Main,2,40.75,81.5,22.41,44.82,36.68,Credit Card,Diego,Takeaway
104,2024-02-07,2024,2,2,Dessert,Dessert,1,28.99,28.99,12.18,12.18,16.81,Pix,Eduarda,Dine-in
105,2024-12-22,2024,12,6,Fries,Side,1,25.94,25.94,10.38,10.38,15.56,Pix,Diego,Dine-in
106,2024-03-16,2024,3,5,Burger,Main,6,33.01,198.06,18.16,108.96,89.1,Cash,Diego,Dine-in
107,2024-03-31,2024,3,6,Soda,Drink,5,9.5,47.5,3.32,16.6,30.9,Pix,Ana,Takeaway
108,2024-05-07,2024,5,1,Pizza,Main,1,61.51,61.51,30.75,30.75,30.76,Pix,Bruno,Delivery
109,2024-12-07,2024,12,5,Soda,Drink,3,10.96,32.88,3.84,11.52,21.36,Debit Card,Diego,Takeaway
110,2024-09-15,2024,9,6,Fries,Side,2,17.36,34.72,6.94,13.88,20.84,Pix,Bruno,Takeaway
111,2024-08-31,2024,8,5,Dessert,Dessert,1,20.03,20.03,8.41,8.41,11.62,Debit Card,Bruno,Takeaway
112,2024-05-21,2024,5,1,Soda,Drink,1,11.64,11.64,4.07,4.07,7.57,Pix,Bruno,Delivery
113,2024-08-13,2024,8,1,Pizza,Main,3,49.9,149.7,24.95,74.85,74.85,Debit Card,Bruno,Delivery
114,2024-06-20,2024,6,3,Steak,Main,3,121.51,364.53,70.48,211.44,153.09,Cash,Bruno,Dine-in
115,2024-04-28,2024,4,6,Fries,Side,3,23.37,70.11,9.35,28.05,42.06,Credit Card,Bruno,Dine-in
116,2024-07-31,2024,7,2,Fries,Side,1,20.86,20.86,8.34,8.34,12.52,Debit Card,Eduarda,Delivery
117,2024-07-31,2024,7,2,Burger,Main,1,36.17,36.17,19.89,19.89,16.28,Credit Card,Diego,Delivery
118,2024-10-26,2024,10,5,Burger,Main,1,31.61,31.61,17.39,17.39,14.22,Pix,Diego,Dine-in
119,2024-06-29,2024,6,5,Sushi,Main,5,84.18,420.9,50.51,252.55,168.35,Pix,Diego,Takeaway
120,2024-10-06,2024,10,6,Beer,Drink,2,21.96,43.92,9.88,19.76,24.16,Credit Card,Diego,Dine-in
121,2024-05-19,2024,5,6,Fries,Side,1,25.46,25.46,10.18,10.18,15.28,Pix,Ana,Delivery
122,2024-06-21,2024,6,4,Fries,Side,2,24.82,49.64,9.93,19.86,29.78,Credit Card,Diego,Dine-in
123,2024-11-14,2024,11,3,Soda,Drink,4,10.93,43.72,3.83,15.32,28.4,Cash,Diego,Takeaway
124,2024-10-15,2024,10,1,Burger,Main,2,39.12,78.24,21.52,43.04,35.2,Cash,Diego,Dine-in
125,2024-08-24,2024,8,5,Pasta,Main,5,46.48,232.4,24.17,120.85,111.55,Cash,Carla,Delivery
126,2024-06-16,2024,6,6,Salad,Starter,2,25.35,50.7,11.41,22.82,27.88,Pix,Carla,Delivery
127,2024-07-13,2024,7,5,Sushi,Main,5,60.59,302.95,36.35,181.75,121.2,Pix,Carla,Dine-in
128,2024-08-28,2024,8,2,Burger,Main,1,41.47,41.47,22.81,22.81,18.66,Cash,Carla,Dine-in
129,2024-11-28,2024,11,3,Pizza,Main,6,77.61,465.66,38.8,232.8,232.86,Cash,Ana,Dine-in
130,2024-04-12,2024,4,4,Burger,Main,1,29.28,29.28,16.1,16.1,13.18,Credit Card,Bruno,Dine-in
131,2024-08-30,2024,8,4,Pizza,Main,2,59.29,118.58,29.64,59.28,59.3,Credit Card,Diego,Takeaway
132,2024-05-11,2024,5,5,Steak,Main,5,100.5,502.5,58.29,291.45,211.05,Credit Card,Eduarda,Takeaway
133,2024-02-28,2024,2,2,Pasta,Main,1,47.74,47.74,24.82,24.82,22.92,Debit Card,Ana,Takeaway
134,2024-01-14,2024,1,6,Sushi,Main,9,89.86,808.74,53.92,485.28,323.46,Pix,Diego,Takeaway
135,2024-04-11,2024,4,3,Pizza,Main,1,59.82,59.82,29.91,29.91,29.91,Credit Card,Ana,Takeaway
136,2024-06-03,2024,6,0,Beer,Drink,2,22.27,44.54,10.02,20.04,24.5,Cash,Eduarda,Dine-in
137,2024-06-26,2024,6,2,Soda,Drink,1,10.88,10.88,3.81,3.81,7.07,Pix,Carla,Dine-in
138,2024-09-16,2024,9,0,Steak,Main,4,107.75,431.0,62.49,249.96,181.04,Cash,Diego,Delivery
139,2024-02-24,2024,2,5,Fries,Side,2,20.86,41.72,8.34,16.68,25.04,Debit Card,Diego,Takeaway
140,2024-03-19,2024,3,1,Fries,Side,3,15.55,46.65,6.22,18.66,27.99,Credit Card,Eduarda,Takeaway
141,2024-05-18,2024,5,5,Beer,Drink,1,13.77,13.77,6.2,6.2,7.57,Pix,Diego,Delivery
142,2024-10-30,2024,10,2,Sushi,Main,2,73.62,147.24,44.17,88.34,58.9,Debit Card,Bruno,Dine-in
143,2024-05-22,2024,5,2,Dessert,Dessert,3,29.75,89.25,12.49,37.47,51.78,Credit Card,Diego,Takeaway
144,2024-11-08,2024,11,4,Fries,Side,2,22.68,45.36,9.07,18.14,27.22,Debit Card,Ana,Delivery
145,2024-06-15,2024,6,5,Pasta,Main,1,60.52,60.52,31.47,31.47,29.05,Pix,Bruno,Delivery
146,2024-05-12,2024,5,6,Steak,Main,3,92.88,278.64,53.87,161.61,117.03,Debit Card,Eduarda,Takeaway
147,2024-05-21,2024,5,1,Soda,Drink,1,9.24,9.24,3.23,3.23,6.01,Cash,Eduarda,Dine-in
148,2024-02-13,2024,2,1,Salad,Starter,1,23.9,23.9,10.75,10.75,13.15,Pix,Diego,Takeaway
149,2024-05-03,2024,5,4,Dessert,Dessert,1,20.36,20.36,8.55,8.55,11.81,Pix,Diego,Dine-in
150,2024-02-17,2024,2,5,Sushi,Main,3,62.93,188.79,37.76,113.28,75.51,Credit Card,Diego,Takeaway
151,2024-05-04,2024,5,5,Sushi,Main,1,63.59,63.59,38.15,38.15,25.44,Debit Card,Diego,Takeaway
152,2024-09-28,2024,9,5,Steak,Main,1,78.72,78.72,45.66,45.66,33.06,Pix,Eduarda,Delivery
153,2024-06-29,2024,6,5,Dessert,Dessert,1,19.82,19.82,8.32,8.32,11.5,Debit Card,Carla,Delivery
154,2024-04-28,2024,4,6,Pizza,Main,1,60.36,60.36,30.18,30.18,30.18,Credit Card,Carla,Dine-in
155,2024-10-01,2024,10,1,Pasta,Main,1,52.03,52.03,27.06,27.06,24.97,Credit Card,Bruno,Takeaway
156,2024-09-04,2024,9,2,Sushi,Main,1,91.7,91.7,55.02,55.02,36.68,Debit Card,Ana,Dine-in
157,2024-05-31,2024,5,4,Salad,Starter,1,34.47,34.47,15.51,15.51,18.96,Debit Card,Bruno,Delivery
158,2024-01-08,2024,1,0,Soda,Drink,2,9.12,18.24,3.19,6.38,11.86,Credit Card,Carla,Dine-in
159,2024-01-28,2024,1,6,Soda,Drink,2,8.89,17.78,3.11,6.22,11.56,Debit Card,Bruno,Takeaway
160,2024-09-08,2024,9,6,Pizza,Main,2,59.16,118.32,29.58,59.16,59.16,Cash,Eduarda,Delivery
161,2024-08-28,2024,8,2,Dessert,Dessert,4,22.14,88.56,9.3,37.2,51.36,Pix,Carla,Dine-in
162,2024-01-27,2024,1,5,Sushi,Main,1,73.33,73.33,44.0,44.0,29.33,Pix,Ana,Dine-in
163,2024-07-24,2024,7,2,Dessert,Dessert,1,22.19,22.19,9.32,9.32,12.87,Cash,Eduarda,Takeaway
164,2024-12-17,2024,12,1,Burger,Main,1,35.02,35.02,19.26,19.26,15.76,Credit Card,Bruno,Takeaway
165,2024-06-04,2024,6,1,Pizza,Main,5,50.25,251.25,25.12,125.6,125.65,Credit Card,Ana,Takeaway
166,2024-08-01,2024,8,3,Beer,Drink,3,18.19,54.57,8.19,24.57,30.0,Credit Card,Eduarda,Delivery
167,2024-08-18,2024,8,6,Dessert,Dessert,2,22.49,44.98,9.45,18.9,26.08,Debit Card,Eduarda,Delivery
168,2024-06-05,2024,6,2,Beer,Drink,3,16.1,48.3,7.25,21.75,26.55,Cash,Eduarda,Takeaway
169,2024-02-20,2024,2,1,Salad,Starter,1,24.26,24.26,10.92,10.92,13.34,Credit Card,Carla,Takeaway
170,2024-02-11,2024,2,6,Pasta,Main,1,42.49,42.49,22.09,22.09,20.4,Credit Card,Bruno,Takeaway
171,2024-02-08,2024,2,3,Pasta,Main,1,58.22,58.22,30.27,30.27,27.95,Cash,Diego,Delivery
172,2024-12-18,2024,12,2,Beer,Drink,2,18.58,37.16,8.36,16.72,20.44,Pix,Carla,Dine-in
173,2024-04-28,2024,4,6,Sushi,Main,5,72.76,363.8,43.66,218.3,145.5,Debit Card,Diego,Dine-in
174,2024-12-17,2024,12,1,Salad,Starter,3,33.06,99.18,14.88,44.64,54.54,Debit Card,Eduarda,Takeaway
175,2024-04-11,2024,4,3,Fries,Side,1,23.2,23.2,9.28,9.28,13.92,Cash,Eduarda,Dine-in
176,2024-11-27,2024,11,2,Pasta,Main,1,50.81,50.81,26.42,26.42,24.39,Debit Card,Bruno,Dine-in
177,2024-01-31,2024,1,2,Pasta,Main,2,40.8,81.6,21.22,42.44,39.16,Debit Card,Eduarda,Takeaway
178,2024-10-18,2024,10,4,Sushi,Main,2,65.09,130.18,39.05,78.1,52.08,Pix,Ana,Delivery
179,2024-12-18,2024,12,2,Sushi,Main,1,73.76,73.76,44.26,44.26,29.5,Pix,Carla,Takeaway
180,2024-10-03,2024,10,3,Dessert,Dessert,3,19.9,59.7,8.36,25.08,34.62,Pix,Ana,Takeaway
181,2024-01-21,2024,1,6,Fries,Side,3,21.92,65.76,8.77,26.31,39.45,Debit Card,Eduarda,Delivery
182,2024-01-14,2024,1,6,Pizza,Main,3,55.64,166.92,27.82,83.46,83.46,Credit Card,Eduarda,Takeaway
183,2024-01-11,2024,1,3,Sushi,Main,2,84.44,168.88,50.66,101.32,67.56,Cash,Bruno,Delivery
184,2024-09-22,2024,9,6,Dessert,Dessert,2,28.46,56.92,11.95,23.9,33.02,Debit Card,Bruno,Takeaway
185,2024-08-11,2024,8,6,Dessert,Dessert,1,28.9,28.9,12.14,12.14,16.76,Cash,Diego,Delivery
186,2024-07-28,2024,7,6,Steak,Main,3,77.44,232.32,44.92,134.76,97.56,Debit Card,Ana,Dine-in
187,2024-06-17,2024,6,0,Fries,Side,3,24.65,73.95,9.86,29.58,44.37,Pix,Carla,Takeaway
188,2024-07-24,2024,7,2,Soda,Drink,2,10.3,20.6,3.6,7.2,13.4,Cash,Diego,Dine-in
189,2024-06-10,2024,6,0,Sushi,Main,4,66.57,266.28,39.94,159.76,106.52,Debit Card,Ana,Delivery
190,2024-09-20,2024,9,4,Burger,Main,3,31.35,94.05,17.24,51.72,42.33,Pix,Diego,Dine-in
191,2024-04-06,2024,4,5,Soda,Drink,5,11.41,57.05,3.99,19.95,37.1,Debit Card,Eduarda,Delivery
192,2024-11-16,2024,11,5,Dessert,Dessert,2,23.27,46.54,9.77,19.54,27.0,Cash,Bruno,Delivery
193,2024-10-08,2024,10,1,Pasta,Main,4,53.66,214.64,27.9,111.6,103.04,Debit Card,Diego,Takeaway
194,2024-09-05,2024,9,3,Pizza,Main,1,74.24,74.24,37.12,37.12,37.12,Cash,Eduarda,Dine-in
195,2024-12-29,2024,12,6,Pasta,Main,1,50.47,50.47,26.24,26.24,24.23,Debit Card,Eduarda,Dine-in
196,2024-10-09,2024,10,2,Fries,Side,4,18.37,73.48,7.35,29.4,44.08,Cash,Bruno,Dine-in
197,2024-08-24,2024,8,5,Pizza,Main,1,55.28,55.28,27.64,27.64,27.64,Credit Card,Diego,Takeaway
198,2024-05-29,2024,5,2,Soda,Drink,2,12.02,24.04,4.21,8.42,15.62,Debit Card,Diego,Delivery
199,2024-08-29,2024,8,3,Salad,Starter,1,36.13,36.13,16.26,16.26,19.87,Pix,Eduarda,Dine-in
200,2024-07-15,2024,7,0,Salad,Starter,1,29.81,29.81,13.41,13.41,16.4,Credit Card,Ana,Delivery
201,2024-07-31,2024,7,2,Steak,Main,5,118.24,591.2,68.58,342.9,248.3,Debit Card,Ana,Delivery
202,2024-06-01,2024,6,5,Beer,Drink,6,18.36,110.16,8.26,49.56,60.6,Pix,Bruno,Delivery
203,2024-10-02,2024,10,2,Dessert,Dessert,2,20.53,41.06,8.62,17.24,23.82,Debit Card,Carla,Takeaway
204,2024-10-05,2024,10,5,Fries,Side,3,25.69,77.07,10.28,30.84,46.23,Pix,Carla,Dine-in
205,2024-12-23,2024,12,0,Salad,Starter,2,24.49,48.98,11.02,22.04,26.94,Pix,Bruno,Delivery
206,2024-01-23,2024,1,1,Steak,Main,3,83.76,251.28,48.58,145.74,105.54,Pix,Diego,Delivery
207,2024-12-05,2024,12,3,Pasta,Main,2,49.03,98.06,25.5,51.0,47.06,Pix,Ana,Dine-in
208,2024-09-14,2024,9,5,Beer,Drink,1,17.46,17.46,7.86,7.86,9.6,Debit Card,Ana,Delivery
209,2024-02-21,2024,2,2,Soda,Drink,3,10.11,30.33,3.54,10.62,19.71,Pix,Ana,Takeaway
210,2024-03-14,2024,3,3,Fries,Side,1,21.67,21.67,8.67,8.67,13.0,Credit Card,Ana,Delivery
211,2024-05-15,2024,5,2,Steak,Main,2,104.52,209.04,60.62,121.24,87.8,Pix,Ana,Delivery
212,2024-12-11,2024,12,2,Soda,Drink,1,10.39,10.39,3.64,3.64,6.75,Pix,Carla,Takeaway
213,2024-09-06,2024,9,4,Soda,Drink,2,12.64,25.28,4.42,8.84,16.44,Cash,Eduarda,Dine-in
214,2024-04-30,2024,4,1,Sushi,Main,2,87.25,174.5,52.35,104.7,69.8,Credit Card,Ana,Delivery
215,2024-02-20,2024,2,1,Pizza,Main,1,51.29,51.29,25.64,25.64,25.65,Pix,Bruno,Takeaway
216,2024-06-02,2024,6,6,Burger,Main,1,35.78,35.78,19.68,19.68,16.1,Cash,Carla,Dine-in
217,2024-05-30,2024,5,3,Steak,Main,2,111.22,222.44,64.51,129.02,93.42,Debit Card,Diego,Dine-in
218,2024-05-05,2024,5,6,Soda,Drink,1,9.87,9.87,3.45,3.45,6.42,Pix,Eduarda,Takeaway
219,2024-04-02,2024,4,1,Pasta,Main,3,42.86,128.58,22.29,66.87,61.71,Credit Card,Ana,Takeaway
220,2024-07-14,2024,7,6,Beer,Drink,1,19.23,19.23,8.65,8.65,10.58,Credit Card,Diego,Takeaway
221,2024-03-14,2024,3,3,Salad,Starter,2,24.42,48.84,10.99,21.98,26.86,Pix,Carla,Delivery
222,2024-05-10,2024,5,4,Burger,Main,2,32.0,64.0,17.6,35.2,28.8,Pix,Carla,Takeaway
223,2024-10-06,2024,10,6,Pasta,Main,2,42.76,85.52,22.24,44.48,41.04,Cash,Diego,Delivery
224,2024-10-27,2024,10,6,Sushi,Main,1,68.78,68.78,41.27,41.27,27.51,Pix,Carla,Delivery
225,2024-06-03,2024,6,0,Salad,Starter,5,26.02,130.1,11.71,58.55,71.55,Pix,Diego,Dine-in
226,2024-05-01,2024,5,2,Fries,Side,1,18.41,18.41,7.36,7.36,11.05,Debit Card,Eduarda,Delivery
